id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key
5j7gLuOsBOyqooruGxX4nx;Taking Over Me;Evanescence;Fallen;2003-03-04;228613;57;False;https://open.spotify.com/track/5j7gLuOsBOyqooruGxX4nx;guitar_stems/Evanescence_-_Taking_Over_Me_(Remastered_2023)_-_Official_Visualizer.wav;63.0;A minor
0lP4HYLmvowOKdsQ7CVkuq;The Kill;Thirty Seconds To Mars;A Beautiful Lie;2005-08-16;231533;78;False;https://open.spotify.com/track/0lP4HYLmvowOKdsQ7CVkuq;guitar_stems/The_Killers_-_When_You_Were_Young_(Official_Music_Video).wav;130.0;E major
3rnU9CkxjXJ1uCCnb3t56l;Ana's Song (Open Fire);Silverchair;Neon Ballroom;1999;222266;50;False;https://open.spotify.com/track/3rnU9CkxjXJ1uCCnb3t56l;guitar_stems/Silverchair_-_Ana's_Song_(Open_Fire)_(Official_Video).wav;80.0;G minor
4Y3WqmBWmG23thvU9xEhMv;Easy;Faith No More;Angel Dust (Deluxe Edition);1992;186960;63;False;https://open.spotify.com/track/4Y3WqmBWmG23thvU9xEhMv;guitar_stems/Faith_No_More_-_Easy_(Official_Music_Video).wav;94.0;E major
1Vej0qeQ3ioKwpI6FUbRv1;Papercut;Linkin Park;Hybrid Theory (Bonus Edition);2000-10-24;184866;77;False;https://open.spotify.com/track/1Vej0qeQ3ioKwpI6FUbRv1;guitar_stems/Papercut_[Official_HD_Music_Video]_-_Linkin_Park.wav;75.0;C# minor
2m1hi0nfMR9vdGC8UcrnwU;All The Small Things;blink-182;Enema Of The State;1999-06-01;167066;81;False;https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU;guitar_stems/blink-182_-_All_The_Small_Things_(Official_Music_Video).wav;74.0;C major
0MaUkkAY8As9h2yHHrXmSu;Misunderstood;Bon Jovi;Bounce;2002-01-01;210080;59;False;https://open.spotify.com/track/0MaUkkAY8As9h2yHHrXmSu;guitar_stems/Bon_Jovi_-_Misunderstood_(Official_Music_Video).wav;55.0;G major
5DiXcVovI0FcY2s0icWWUu;Mr. Jones;Counting Crows;August And Everything After;1993-01-01;272293;79;False;https://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu;guitar_stems/Counting_Crows_-_Mr._Jones_(Official_Music_Video).wav;71.0;A minor
2gANywSFYF58YFMPdDSAjC;Stand by Me;Oasis;Be Here Now;1997-08-21;356600;62;False;https://open.spotify.com/track/2gANywSFYF58YFMPdDSAjC;guitar_stems/Oasis_-_Stand_By_Me_(Official_Video).wav;84.0;G major
5egqKwgK5r5rvGD1LrtR7J;Points of Authority;Linkin Park;Hybrid Theory (Bonus Edition);2000-10-24;200240;68;False;https://open.spotify.com/track/5egqKwgK5r5rvGD1LrtR7J;guitar_stems/Points_Of_Authority_[Official_HD_Music_Video]_-_Linkin_Park.wav;66.0;Eb minor
79pY2Z5eFvXMt9bSdHLrnA;I Am Mine;Pearl Jam;Riot Act;2002-11-08;215333;58;False;https://open.spotify.com/track/79pY2Z5eFvXMt9bSdHLrnA;guitar_stems/Pearl_Jam_-_I_Am_Mine_(Live_at_Chop_Suey_-_Official_HD_Video).wav;104.0;D major
